medio,titulo,fecha,categoria_original,texto,url
La Prensa,Hipotiroidismo: la enfermedad hormonal que muchas veces se confunde con estrés,2026-06-15,vivir,"Una pequeña glándula ubicada en la base del cuello puede influir en el peso, la energía, el estado de ánimo e incluso la salud cardiovascular de las personas. Lo que muchos atribuyen al estrés o al paso de los años po...",https://www.prensa.com/vivir/hipotiroidismo-la-enfermedad-hormonal-que-muchas-veces-se-confunde-con-estres/
La Prensa,Panamá evalúa ampliar red de escáneres en puertos ante el creciente movimiento de carga,2026-06-15,economia,"Panamá cuenta actualmente con un escáner en cada uno de sus cinco principales puertos de contenedores: tres en el Atlántico (MIT, Cristóbal y Colón Container Terminal) y dos en el Pacífico (Balboa y PSA Panamá)....",https://www.prensa.com/economia/panama-evalua-ampliar-red-de-escaneres-en-puertos-ante-el-creciente-movimiento-de-carga/
La Prensa,Conozca las sucursales del Banco Nacional habilitados para negociar su Cepanim,2026-06-15,sociedad,"El Banco Nacional de Panamá informó que, a partir del este 15 de junio, pondrá a disposición de los beneficiarios de los Certificados de Pago Negociables por Interés por Mora (Cepanim) una red de centros de negociació...",https://www.prensa.com/sociedad/conozca-las-sucursales-del-banco-nacional-habilitados-para-negociar-su-cepanim/
La Prensa,Las impresionantes imágenes de criaturas marinas que logra la buceadora que entra al mar de noche,2026-06-15,vivir,"En el buceo en aguas oscuras, el fondo del océano es invisible, dice Jialing Cai. Flotas en un vacío negro infinito....",https://www.prensa.com/vivir/las-impresionantes-imagenes-de-criaturas-marinas-que-logra-la-buceadora-que-entra-al-mar-de-noche/
La Prensa,Tal cual,2026-06-15,opinion,"MUNDIAL. Ya que el espíritu deportivo está tan encendido por estos días, ¿se imaginan qué sucedería si en Panamá hubiese un campeonato del juega vivo? ¿Quiénes serían los convocados por el Ejecutivo? Jugando la posici...",https://www.prensa.com/opinion/tal-cual-1088/
La Prensa,Trump anuncia que ha alcanzado un acuerdo con Irán para reabrir el estrecho de Ormuz; será ratificado este viernes,2026-06-14,mundo,"El presidente de Estados Unidos, Donald Trump, anunció este sábado que ha alcanzado un acuerdo con Irán para desbloquear el estrecho de Ormuz tras más de tres meses de guerra....",https://www.prensa.com/mundo/trump-anuncia-que-ha-alcanzado-un-acuerdo-con-iran-para-reabrir-el-estrecho-de-ormuz/
La Prensa,"Acreditación, familia e investigación: los vínculos detrás de la Universidad Iberoamericana",2026-06-14,politica,"Mientras la entonces rectora de la Universidad Autónoma de Chiriquí (Unachi), Etelvina Medianero de Bonagas, transitaba sus últimos días al frente de la institución en medio de una profunda crisis administrativa y fin...",https://www.prensa.com/politica/acreditacion-familia-e-investigacion-los-vinculos-detras-de-la-universidad-iberoamericana/
La Prensa,Ceguera conveniente: cuando no querer saber también es corrupción,2026-06-15,opinion,"El Diccionario Panhispánico del Español Jurídico define el principio de la ignorancia deliberada como aquel según el cual “quien no quiere saber aquello que puede y debe conocer, y se beneficia de la situación, se hac...",https://www.prensa.com/opinion/ceguera-conveniente-cuando-no-querer-saber-tambien-es-corrupcion/
La Prensa,El bono demográfico se nos está cerrando en la cara,2026-06-15,opinion,"Hay países que envejecen lentamente, como quien sube una montaña durante generaciones. Y hay países que envejecen de golpe, casi sin haber terminado de construir la casa....",https://www.prensa.com/opinion/el-bono-demografico-se-nos-esta-cerrando-en-la-cara/
La Prensa,Atrapados entre cicatrices: la dura realidad de las calles en Arraiján,2026-06-15,opinion,"Arraiján es el distrito más poblado de la provincia de Panamá Oeste; sin embargo, transitar por las calles de sus corregimientos se ha convertido en un desafío diario, que evidencia una cicatriz en el colapso de su in...",https://www.prensa.com/opinion/atrapados-entre-cicatrices-la-dura-realidad-de-las-calles-en-arraijan/
La Prensa,Antropología Simbiótica: observando el surgimiento de ecosistemas cognitivos humano-IA en tiempo real,2026-06-15,opinion,"Durante siglos, la antropología estudió cómo los seres humanos construyen cultura, transmiten conocimientos, organizan sociedades y desarrollan identidades colectivas. Observó tribus, imperios, religiones, sistemas po...",https://www.prensa.com/opinion/antropologia-simbiotica-observando-el-surgimiento-de-ecosistemas-cognitivos-humano-ia-en-tiempo-real/
La Prensa,Cuando el narcotráfico compite con el Estado,2026-06-15,opinion,Panamá: evolución histórica del narcotráfico y su impacto...,https://www.prensa.com/opinion/cuando-el-narcotrafico-compite-con-el-estado/
La Prensa,La redistribución de la riqueza nos hace pobres,2026-06-15,opinion,"Imaginemos por un momento una pequeña economía formada solo por dos personas: A y B. A produce pan y B, mantequilla. No existe el dinero, solo panes y mantequilla, que ambos utilizan como medio de intercambio para sat...",https://www.prensa.com/opinion/la-redistribucion-de-la-riqueza-nos-hace-pobres/
La Prensa,La decisión sobre IA que los colegios están tomando en silencio,2026-06-15,opinion,"La conversación sobre inteligencia artificial en la educación panameña ha girado alrededor del Meduca, las plataformas tecnológicas y lo que traerá la próxima reforma educativa. Es una conversación necesaria, pero dej...",https://www.prensa.com/opinion/la-decision-sobre-ia-que-los-colegios-estan-tomando-en-silencio/
La Prensa,¡Es hora de que Panamá tenga un seguro de desempleo!,2026-06-15,opinion,"El seguro de desempleo es una herramienta probada en Europa, América del Norte, algunos países de África, Asia y América Latina. Estos países han comprendido que perder el empleo no es únicamente un problema individua...",https://www.prensa.com/opinion/es-hora-de-que-panama-tenga-un-seguro-de-desempleo/
La Prensa,Derecho ambiental sin fiscalización: la lenta asfixia de Los Santos,2026-06-15,opinion,"Durante años, el deterioro ambiental en la provincia de Los Santos ha sido tratado como una molestia menor y no como un verdadero problema de salud pública y de legalidad. Sin embargo, basta recorrer distintas comunid...",https://www.prensa.com/opinion/derecho-ambiental-sin-fiscalizacion-la-lenta-asfixia-de-los-santos/
La Prensa,Ecuador sucumbe en el minuto 90 ante Costa de Marfil,2026-06-15,deportes,Costa de Marfil esperó este domingo hasta el minuto 90 para liquidar con un gol de Amad Diallo a Ecuador y quedarse con los tres puntos en el partido de debut de ambas selecciones en el Grupo E del Mundial....,https://www.prensa.com/deportes/ecuador-sucumbe-en-el-minuto-90-ante-costa-de-marfil/
